url,Dun,anto,adrien,ethan
https://ftw.usatoday.com/2023/10/taylor-swift-brittany-mahomes-dance-chiefs-pregame-travis-kelce,Positive,Positive,,Positive
https://www.buzzfeed.com/kristenharris1/celebs-helped-famous-friends,Neutral,,Neutral,
https://www.foxnews.com/entertainment/young-taylor-swift-played-song-backstage-britney-spears-oops-tour,Neutral,,Positive,
https://www.foxnews.com/sports/us-soccer-star-alex-morgan-invites-taylor-swift-to-san-diego-wave-games-real-football-is-more-fun,Neutral,,Neutral,
https://www.foxsports.com/stories/soccer/uswnt-star-alex-morgan-invites-taylor-swift-to-nwsl-game-real-football-is-more-fun,Neutral,,Neutral,
https://www.newsweek.com/taylor-swift-video-sparks-wild-theory-argylle-elly-conway-1836847,Neutral,,Neutral,
https://www.buzzfeed.com/juliacorrigan/internet-fails-from-this-week-10-30,Positive,,Positive,
https://www.cnn.com/2023/10/20/entertainment/actors-halloween-costumes/index.html,Negative,,Positive,
https://www.washingtonpost.com/dc-md-va/2023/10/25/best-halloween-events-dc-kids-adults/,Neutral,,Neutral,
https://time.com/6328337/halloween-costume-barbie-ken-taylor-swift-travis-kelce/,Positive,,Positive,
https://ftw.usatoday.com/2023/10/connor-hellebuyck-wife-travis-kelce-taylor-swift-halloween-costume,Positive,,Positive,
https://www.cnn.com/2023/10/28/entertainment/britney-spears-jada-pinkett-memoir-plc/index.html,Neutral,,Positive,
https://abcnews.go.com/Entertainment/wireStory/swift-bests-scorsese-box-office-killers-flower-moon-104209104,Positive,,Positive,
https://www.breitbart.com/entertainment/2023/10/19/nolte-taylor-swifts-box-office-triumph-makes-hollywood-tremble/,Positive,,Positive,
https://www.breitbart.com/entertainment/2023/10/21/nolte-taylor-swift-humiliates-hollywood-again-trounces-leos-flower-moon/,Positive,,Positive,
https://www.businessinsider.com/taylor-swift-eras-tour-movie-movie-theater-worker-2023-10,Positive,,Neutral,
https://www.cbc.ca/news/canada/first-person-taylor-swift-movie-long-distance-dad-1.7019980,Neutral,,Negative,
https://www.cnn.com/2023/10/16/entertainment/taylor-swift-eras-tour-box-office-column/index.html,Positive,,Positive,
https://fortune.com/2023/10/17/taylor-swift-eras-tour-concert-film-nbc-nfl-commercials-tickets-nb/,Positive,,Positive,
https://fortune.com/2023/10/16/taylor-swift-eras-tour-movie-box-office/,Positive,,Positive,
https://fortune.com/2023/10/22/weekend-box-office-taylor-swift-concert-film-beats-scorsese-killers-flower-moon/,Positive,,Positive,
https://fortune.com/2023/11/06/box-office-weekend-dune-part-two-release-delayed-hollywood-strikes/,Neutral,,Positive,
https://fortune.com/2023/11/12/the-marvels-struggles-at-box-office-amid-superhero-fatigue/,Neutral,,Positive,
https://www.washingtonpost.com/opinions/2023/10/20/taylor-swift-marvel-universe-eras-tour-movie/,Neutral,,Positive,
https://www.washingtonpost.com/dc-md-va/2023/10/20/common-sense-media-october-20/,Positive,,Positive,
https://time.com/6323750/taylor-swift-beyonce-barbie-fashion-concert-movie/,Positive,,Positive,
https://www.businessinsider.com/nvidia-jensen-huang-joked-jackie-chan-play-him-movie-2023-11,Neutral,,Neutral,
https://abcnews.go.com/Technology/wireStory/stream-week-1989-taylors-version-emily-blunt-nights-104214851,Neutral,,Positive,
https://abcnews.go.com/Entertainment/wireStory/country-pop-2014-nostalgia-2023-reality-time-taylor-104414613,Positive,,Positive,
https://bleacherreport.com/articles/10095337-video-broncos-play-taylor-swifts-shake-it-off-after-beating-travis-kelce-chiefs,Neutral,,Positive,
https://www.breitbart.com/sports/2023/10/29/video-broncos-troll-chiefs-travis-kelce-by-playing-taylor-swift-music-after-upset-win/,Negative,,Neutral,
https://fortune.com/2023/11/06/taylor-swift-1989-taylors-version-outsells-original/,Positive,,Positive,
https://fortune.com/2023/11/06/taylor-swift-1989-rerecording-album-music-industry-impact/,Positive,,Positive,
https://time.com/6329228/taylor-swift-1989-slut-song/,Positive,,Positive,
https://time.com/6327597/taylor-swift-best-vault-songs/,Positive,,Positive,
https://time.com/6328126/taylor-swift-1989-all-you-had-to-do-was-stay/,Positive,,Positive,
https://time.com/6328790/taylor-swift-1989-2/,Positive,,Positive,
https://www.buzzfeed.com/michaelabramwell/funny-tweets-from-october,Positive,,Positive,
https://www.cbc.ca/news/canada/ottawa/cornwall-homeless-encampment-winter-plan-transitional-housing-shelter-1.7023847,Neutral,,Neutral,
https://www.cbc.ca/sports/olympics/winter/alpine-skiing/alpine-skiing-shiffrin-offseason-1.7010158,Neutral,,Neutral,
https://www.washingtonpost.com/entertainment/movies/2023/11/01/fingernails-movie-review/,Neutral,,Neutral,
https://www.businessinsider.com/taylor-swift-billionaire-downplay-net-worth-brand-2023-11,Positive,,Positive,
https://www.businessinsider.com/taylor-swift-jeff-bezos-elon-musk-top-financial-icons-genz-2023-11,Neutral,,Neutral,
https://abcnews.go.com/International/wireStory/taylor-swifts-argentina-concert-takes-political-turn-presidential-104772669,Neutral,,Neutral,
https://abcnews.go.com/Entertainment/wireStory/taylor-swifts-argentina-concert-takes-political-turn-presidential-104772670,Neutral,,Neutral,
