source,author,title,description,category,coverage,url
Newsweek,Tom Norton,Taylor Swift's Romance With Travis Kelce: What We Actually Know,Taylor Swift and Travis Kelce's blossoming romance has sparked a huge media storm.,Controversy,,https://www.newsweek.com/taylor-swift-travis-kelce-romance-rumors-mom-brother-relationship-1837336
The Washington Post,Washington Post,What It Would Mean For Music If Bandcamp Goes Away,"First, there’s the fear that an uncaring new ownership might end up sending one of the world’s most vital music libraries down the digital flush hole. Then there’s the concurrent fear that the community surrounding this special ecosystem will erode and go poo…",Controversy,,https://www.washingtonpost.com/entertainment/music/2023/10/20/bandcamp-sale-staff-cut/
USA Today,Charles Curtis,Taylor Swift's dad (an Eagles fan!) wore a Chiefs lanyard while with Travis Kelce at the Eras Tour,Taylor Swift fans loved this. Eagles fans? Not so much.,Controversy,,https://ftw.usatoday.com/2023/11/taylor-swift-dad-travis-kelce-eras-tour-chiefs-lanyard-eagles
USA Today,Cory Woodroof,NFL fans debated whether or not Josh Allen called a ‘Taylor Swift’ audible or a ‘J.R. Smith’ audible,"Did Josh Allen say ""Taylor Swift"" or ""J.R. Smith"" with this TNF audible call?",Controversy,,https://ftw.usatoday.com/lists/josh-allen-taylor-swift-jr-smith-audible-call-nfl-fans-debate
Time,TIME PR,TIME Launches FAST Channel on Amazon Freevee in Latest Push into New Platforms and Audience Growth,"Powered by TIME’s Premium Digital Video Division, TIME’s FAST Channel Will Debut on October 17 Today, the global media brand TIME announced the launch of its FAST channel on Amazon Freevee in its latest expansion into new video platforms.  Powered by TIME’s t…",Coverage,,https://time.com/6324650/time-launches-fast-channel-on-amazon-freevee/
ABC News,ABC News,WATCH: Taylor Swift and Travis Kelce share a kiss after her Buenos Aires concert,Video shows the singer and Chiefs’ tight end embracing each other after her show.,Dating,,https://abcnews.go.com/GMA/Culture/video/taylor-swift-travis-kelce-share-kiss-after-buenos-104833734
ABC News,DAVE SKRETTA AP sports writer,Chiefs' Travis Kelce has been taking his play to a new level with Taylor Swift in the house,Kansas City Chiefs tight end Travis Kelce has been taking his play to a new level whenever Taylor Swift is in the house,Dating,,https://abcnews.go.com/Politics/wireStory/chiefs-travis-kelce-taking-play-new-level-taylor-104231453
Bleacher Report,Mike Chiari,"Report: Taylor Swift, Travis Kelce 'Are All in' on Relationship amid Dating Rumors",Things are reportedly getting pretty serious between Kansas City Chiefs All-Pro tight end Travis Kelce and global music megastar Taylor Swift. According to…,Dating,,https://bleacherreport.com/articles/10094089-report-taylor-swift-travis-kelce-are-all-in-on-relationship-amid-dating-rumors
Bleacher Report,Doric Sam,"Lakers' Austin Reaves, Taylor Swift Dating Rumor Started by Clippers Staffer","Before pop superstar Taylor Swift and Kansas City Chiefs tight end Travis Kelce were ever linked to one another, the singer/songwriter was rumored over the…",Dating,,https://bleacherreport.com/articles/10093918-lakers-austin-reaves-taylor-swift-dating-rumor-started-by-clippers-staffer
Bleacher Report,Erin Walsh,"Report: Travis Kelce, Taylor Swift's Parents Expected to Meet at Eagles vs. Chiefs",Travis Kelce and Taylor Swift appear to be taking the next step in their relationship. The parents of the Chiefs tight end and world-renowned…,Dating,,https://bleacherreport.com/articles/10097500-report-travis-kelce-taylor-swifts-parents-expected-to-meet-at-eagles-vs-chiefs
Bleacher Report,Joseph Zucker,"TMZ: Travis Kelce, Taylor Swift Dating 'Overwhelming' for Jason, Mom Donna and Family","Kansas City Chiefs tight end Travis Kelce's relationship with Taylor Swift has been an adjustment for the entire Kelce family, according to TMZ Sports.…",Dating,,https://bleacherreport.com/articles/10095508-tmz-travis-kelce-taylor-swift-dating-overwhelming-for-jason-mom-donna-and-family
Bleacher Report,Erin Walsh,Chiefs' Travis Kelce: 'I Blacked Out' During 'SNL' Appearance Featuring Taylor Swift,"Travis Kelce made his Saturday Night Live debut in March, and the Kansas City Chiefs tight end returned to the set of the esteemed comedy show this past…",Dating,,https://bleacherreport.com/articles/10093880-chiefs-travis-kelce-i-blacked-out-during-snl-appearance-featuring-taylor-swift
Bleacher Report,Erin Walsh,Report: Travis Kelce to Visit Taylor Swift in Argentina amid Chiefs' Bye Week,"Travis Kelce is reportedly traveling to Argentina during the Kansas City Chiefs' bye week, and for good reason. Kelce will be traveling to the South American…",Dating,,https://bleacherreport.com/articles/10096698-report-travis-kelce-to-visit-taylor-swift-in-argentina-amid-chiefs-bye-week
CBS News,"Gina Martinez, Alex Sundby",Taylor Swift returns to Arrowhead stadium to cheer on Travis Kelce,This is the fifth time Swift has been seen cheering on Kansas Chiefs tight end Travis Kelce and the defending Super Bowl champions.,Dating,,https://www.cbsnews.com/news/taylor-swift-back-at-arrowhead-stadium-cheering-kansas-city-chiefs-travis-kelce/
CBS News,"Meredith Gordon, Fox Van Allen",How to watch every Kansas City Chiefs game this season,We've got all the information you need to watch every Chiefs game this season (even the one that isn't on network TV).,Dating,,https://www.cbsnews.com/essentials/how-to-watch-every-kansas-city-chiefs-game-season/
CNN,Lisa Respers France,Travis Kelce spills on his NYC weekend with Taylor Swift,At least we can now definitely say Travis Kelce has been going out on dates with Taylor Swift.,Dating,,https://www.cnn.com/2023/10/19/entertainment/travis-kelce-taylor-swift-weekend/index.html
